model_name,analysis_type,embedding_size,metric_type,metric_value
t5-v1_1-xxl,pad_14336,4096,map_at_100,4.84
t5-v1_1-xxl,crop_128,4096,map_at_100,0.761
t5-v1_1-xxl,random_xn,4096,map_at_100,1.916
t5-v1_1-xxl,full,4096,map_at_100,4.839
t5-v1_1-xl,pad_14336,2048,map_at_100,4.093
t5-v1_1-xl,crop_128,2048,map_at_100,0.761
t5-v1_1-xl,random_xn,2048,map_at_100,1.9109999999999998
t5-v1_1-xl,full,2048,map_at_100,4.093
t5-v1_1-large,pad_14336,1024,map_at_100,4.671
t5-v1_1-large,crop_128,1024,map_at_100,0.761
t5-v1_1-large,random_xn,1024,map_at_100,1.733
t5-v1_1-large,full,1024,map_at_100,4.67
t5-v1_1-base,pad_14336,768,map_at_100,4.212
t5-v1_1-base,crop_128,768,map_at_100,0.761
t5-v1_1-base,random_xn,768,map_at_100,1.6219999999999999
t5-v1_1-base,full,768,map_at_100,4.212
t5-v1_1-small,pad_14336,512,map_at_100,3.1220000000000003
t5-v1_1-small,crop_128,512,map_at_100,0.761
t5-v1_1-small,random_xn,512,map_at_100,1.575
t5-v1_1-small,full,512,map_at_100,3.1220000000000003
bloom,pad_14336,14336,map_at_100,4.111
bloom,crop_128,14336,map_at_100,1.5699999999999998
bloom,random_xn,14336,map_at_100,2.884
bloom,full,14336,map_at_100,4.111
bloom-7b1,pad_14336,4096,map_at_100,4.382
bloom-7b1,crop_128,4096,map_at_100,1.879
bloom-7b1,random_xn,4096,map_at_100,2.827
bloom-7b1,full,4096,map_at_100,4.4350000000000005
bloom-3b,pad_14336,2560,map_at_100,4.128
bloom-3b,crop_128,2560,map_at_100,2.1340000000000003
bloom-3b,random_xn,2560,map_at_100,2.719
bloom-3b,full,2560,map_at_100,4.147
bloom-1b7,pad_14336,2048,map_at_100,4.386
bloom-1b7,crop_128,2048,map_at_100,1.7930000000000001
bloom-1b7,random_xn,2048,map_at_100,2.669
bloom-1b7,full,2048,map_at_100,4.486
