model_name,analysis_type,embedding_size,metric_type,metric_value
t5-v1_1-xxl,pad_14336,4096,ndcg_at_10,7.564
t5-v1_1-xxl,crop_128,4096,ndcg_at_10,1.3419999999999999
t5-v1_1-xxl,random_xn,4096,ndcg_at_10,3.125
t5-v1_1-xxl,full,4096,ndcg_at_10,7.553999999999999
t5-v1_1-xl,pad_14336,2048,ndcg_at_10,6.318
t5-v1_1-xl,crop_128,2048,ndcg_at_10,1.3419999999999999
t5-v1_1-xl,random_xn,2048,ndcg_at_10,3.116
t5-v1_1-xl,full,2048,ndcg_at_10,6.318
t5-v1_1-large,pad_14336,1024,ndcg_at_10,7.292
t5-v1_1-large,crop_128,1024,ndcg_at_10,1.3419999999999999
t5-v1_1-large,random_xn,1024,ndcg_at_10,2.87
t5-v1_1-large,full,1024,ndcg_at_10,7.283
t5-v1_1-base,pad_14336,768,ndcg_at_10,6.550000000000001
t5-v1_1-base,crop_128,768,ndcg_at_10,1.3419999999999999
t5-v1_1-base,random_xn,768,ndcg_at_10,2.769
t5-v1_1-base,full,768,ndcg_at_10,6.550000000000001
t5-v1_1-small,pad_14336,512,ndcg_at_10,4.9590000000000005
t5-v1_1-small,crop_128,512,ndcg_at_10,1.3419999999999999
t5-v1_1-small,random_xn,512,ndcg_at_10,2.577
t5-v1_1-small,full,512,ndcg_at_10,4.9590000000000005
bloom,pad_14336,14336,ndcg_at_10,6.381
bloom,crop_128,14336,ndcg_at_10,2.657
bloom,random_xn,14336,ndcg_at_10,4.682
bloom,full,14336,ndcg_at_10,6.381
bloom-7b1,pad_14336,4096,ndcg_at_10,6.8870000000000005
bloom-7b1,crop_128,4096,ndcg_at_10,3.093
bloom-7b1,random_xn,4096,ndcg_at_10,4.596
bloom-7b1,full,4096,ndcg_at_10,6.9639999999999995
bloom-3b,pad_14336,2560,ndcg_at_10,6.660000000000001
bloom-3b,crop_128,2560,ndcg_at_10,3.5479999999999996
bloom-3b,random_xn,2560,ndcg_at_10,4.41
bloom-3b,full,2560,ndcg_at_10,6.609
bloom-1b7,pad_14336,2048,ndcg_at_10,7.037
bloom-1b7,crop_128,2048,ndcg_at_10,2.997
bloom-1b7,random_xn,2048,ndcg_at_10,4.328
bloom-1b7,full,2048,ndcg_at_10,7.149
bloom-1b1,pad_14336,1536,ndcg_at_10,2.291
