tokenizer_name,analysis_type,embedding_size,metric_type,metric_value,axis_name
GPT-NeoX,random_xn_tok,14336,ndcg_at_10,3.6479999999999997,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,12288,ndcg_at_10,3.624,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,9216,ndcg_at_10,3.5869999999999997,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,7168,ndcg_at_10,3.567,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,5120,ndcg_at_10,3.628,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,4096,ndcg_at_10,3.581,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,2560,ndcg_at_10,3.514,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,2048,ndcg_at_10,3.415,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,1536,ndcg_at_10,3.412,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,1088,ndcg_at_10,3.3009999999999997,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,1024,ndcg_at_10,3.2939999999999996,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,768,ndcg_at_10,3.124,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,512,ndcg_at_10,2.993,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,256,ndcg_at_10,2.2110000000000003,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,128,ndcg_at_10,1.407,GPT-NeoX(50304 vocab size)
T5,random_xn_tok,14336,ndcg_at_10,3.145,T5(32128 vocab size)
T5,random_xn_tok,12288,ndcg_at_10,3.173,T5(32128 vocab size)
T5,random_xn_tok,9216,ndcg_at_10,3.159,T5(32128 vocab size)
T5,random_xn_tok,7168,ndcg_at_10,3.1510000000000002,T5(32128 vocab size)
T5,random_xn_tok,5120,ndcg_at_10,3.2439999999999998,T5(32128 vocab size)
T5,random_xn_tok,4096,ndcg_at_10,3.222,T5(32128 vocab size)
T5,random_xn_tok,2560,ndcg_at_10,3.0429999999999997,T5(32128 vocab size)
T5,random_xn_tok,2048,ndcg_at_10,3.1029999999999998,T5(32128 vocab size)
T5,random_xn_tok,1536,ndcg_at_10,2.996,T5(32128 vocab size)
T5,random_xn_tok,1088,ndcg_at_10,2.8320000000000003,T5(32128 vocab size)
T5,random_xn_tok,1024,ndcg_at_10,2.8289999999999997,T5(32128 vocab size)
T5,random_xn_tok,768,ndcg_at_10,2.74,T5(32128 vocab size)
T5,random_xn_tok,512,ndcg_at_10,2.472,T5(32128 vocab size)
T5,random_xn_tok,256,ndcg_at_10,2.0420000000000003,T5(32128 vocab size)
T5,random_xn_tok,128,ndcg_at_10,1.344,T5(32128 vocab size)
OPT,random_xn_tok,14336,ndcg_at_10,3.2779999999999996,OPT(50272 vocab size)
OPT,random_xn_tok,12288,ndcg_at_10,3.313,OPT(50272 vocab size)
OPT,random_xn_tok,9216,ndcg_at_10,3.248,OPT(50272 vocab size)
OPT,random_xn_tok,7168,ndcg_at_10,3.327,OPT(50272 vocab size)
OPT,random_xn_tok,5120,ndcg_at_10,3.261,OPT(50272 vocab size)
OPT,random_xn_tok,4096,ndcg_at_10,3.238,OPT(50272 vocab size)
OPT,random_xn_tok,2560,ndcg_at_10,3.1530000000000005,OPT(50272 vocab size)
OPT,random_xn_tok,2048,ndcg_at_10,3.166,OPT(50272 vocab size)
OPT,random_xn_tok,1536,ndcg_at_10,3.091,OPT(50272 vocab size)
OPT,random_xn_tok,1088,ndcg_at_10,3.036,OPT(50272 vocab size)
OPT,random_xn_tok,1024,ndcg_at_10,2.9499999999999997,OPT(50272 vocab size)
OPT,random_xn_tok,768,ndcg_at_10,2.931,OPT(50272 vocab size)
OPT,random_xn_tok,512,ndcg_at_10,2.617,OPT(50272 vocab size)
OPT,random_xn_tok,256,ndcg_at_10,2.07,OPT(50272 vocab size)
OPT,random_xn_tok,128,ndcg_at_10,1.264,OPT(50272 vocab size)
Cerebras,random_xn_tok,14336,ndcg_at_10,3.7510000000000003,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,12288,ndcg_at_10,3.785,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,9216,ndcg_at_10,3.7609999999999997,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,7168,ndcg_at_10,3.803,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,5120,ndcg_at_10,3.7289999999999996,Cerebras(50257 vocab size)
