tokenizer_name,analysis_type,embedding_size,metric_type,metric_value,axis_name
GPT-NeoX,random_xn_tok,14336,map_at_100,2.311,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,12288,map_at_100,2.289,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,9216,map_at_100,2.286,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,7168,map_at_100,2.258,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,5120,map_at_100,2.273,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,4096,map_at_100,2.3009999999999997,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,2560,map_at_100,2.2640000000000002,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,2048,map_at_100,2.259,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,1536,map_at_100,2.1999999999999997,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,1088,map_at_100,2.1319999999999997,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,1024,map_at_100,2.089,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,768,map_at_100,2.018,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,512,map_at_100,1.944,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,256,map_at_100,1.355,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,128,map_at_100,0.777,GPT-NeoX(50304 vocab size)
T5,random_xn_tok,14336,map_at_100,1.8870000000000002,T5(32128 vocab size)
T5,random_xn_tok,12288,map_at_100,1.8950000000000002,T5(32128 vocab size)
T5,random_xn_tok,9216,map_at_100,1.8780000000000001,T5(32128 vocab size)
T5,random_xn_tok,7168,map_at_100,1.865,T5(32128 vocab size)
T5,random_xn_tok,5120,map_at_100,1.876,T5(32128 vocab size)
T5,random_xn_tok,4096,map_at_100,1.8929999999999998,T5(32128 vocab size)
T5,random_xn_tok,2560,map_at_100,1.8780000000000001,T5(32128 vocab size)
T5,random_xn_tok,2048,map_at_100,1.891,T5(32128 vocab size)
T5,random_xn_tok,1536,map_at_100,1.871,T5(32128 vocab size)
T5,random_xn_tok,1088,map_at_100,1.779,T5(32128 vocab size)
T5,random_xn_tok,1024,map_at_100,1.754,T5(32128 vocab size)
T5,random_xn_tok,768,map_at_100,1.6820000000000002,T5(32128 vocab size)
T5,random_xn_tok,512,map_at_100,1.468,T5(32128 vocab size)
T5,random_xn_tok,256,map_at_100,1.266,T5(32128 vocab size)
T5,random_xn_tok,128,map_at_100,0.8160000000000001,T5(32128 vocab size)
OPT,random_xn_tok,14336,map_at_100,2.108,OPT(50272 vocab size)
OPT,random_xn_tok,12288,map_at_100,2.101,OPT(50272 vocab size)
OPT,random_xn_tok,9216,map_at_100,2.0820000000000003,OPT(50272 vocab size)
OPT,random_xn_tok,7168,map_at_100,2.088,OPT(50272 vocab size)
OPT,random_xn_tok,5120,map_at_100,2.073,OPT(50272 vocab size)
OPT,random_xn_tok,4096,map_at_100,2.092,OPT(50272 vocab size)
OPT,random_xn_tok,2560,map_at_100,1.9720000000000002,OPT(50272 vocab size)
OPT,random_xn_tok,2048,map_at_100,1.897,OPT(50272 vocab size)
OPT,random_xn_tok,1536,map_at_100,1.9,OPT(50272 vocab size)
OPT,random_xn_tok,1088,map_at_100,1.872,OPT(50272 vocab size)
OPT,random_xn_tok,1024,map_at_100,1.9009999999999998,OPT(50272 vocab size)
OPT,random_xn_tok,768,map_at_100,1.873,OPT(50272 vocab size)
OPT,random_xn_tok,512,map_at_100,1.661,OPT(50272 vocab size)
OPT,random_xn_tok,256,map_at_100,1.197,OPT(50272 vocab size)
OPT,random_xn_tok,128,map_at_100,0.6859999999999999,OPT(50272 vocab size)
Bloom,random_xn_tok,14336,map_at_100,2.884,Bloom(250880 vocab size)
Bloom,random_xn_tok,12288,map_at_100,2.876,Bloom(250880 vocab size)
Bloom,random_xn_tok,9216,map_at_100,2.918,Bloom(250880 vocab size)
Bloom,random_xn_tok,7168,map_at_100,2.847,Bloom(250880 vocab size)
Bloom,random_xn_tok,5120,map_at_100,2.8449999999999998,Bloom(250880 vocab size)
Bloom,random_xn_tok,4096,map_at_100,2.827,Bloom(250880 vocab size)
Bloom,random_xn_tok,2560,map_at_100,2.719,Bloom(250880 vocab size)
Bloom,random_xn_tok,2048,map_at_100,2.669,Bloom(250880 vocab size)
Bloom,random_xn_tok,1536,map_at_100,2.557,Bloom(250880 vocab size)
Bloom,random_xn_tok,1088,map_at_100,2.5100000000000002,Bloom(250880 vocab size)
Bloom,random_xn_tok,1024,map_at_100,2.504,Bloom(250880 vocab size)
Bloom,random_xn_tok,768,map_at_100,2.392,Bloom(250880 vocab size)
Bloom,random_xn_tok,512,map_at_100,2.186,Bloom(250880 vocab size)
Bloom,random_xn_tok,256,map_at_100,1.752,Bloom(250880 vocab size)
Bloom,random_xn_tok,128,map_at_100,1.0,Bloom(250880 vocab size)
Cerebras,random_xn_tok,14336,map_at_100,2.311,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,12288,map_at_100,2.398,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,9216,map_at_100,2.393,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,7168,map_at_100,2.418,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,5120,map_at_100,2.348,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,4096,map_at_100,2.327,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,2560,map_at_100,2.34,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,2048,map_at_100,2.2800000000000002,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,1536,map_at_100,2.222,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,1088,map_at_100,2.16,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,1024,map_at_100,2.144,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,768,map_at_100,2.056,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,512,map_at_100,1.8370000000000002,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,256,map_at_100,1.436,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,128,map_at_100,0.88,Cerebras(50257 vocab size)
