tokenizer_name,analysis_type,embedding_size,metric_type,metric_value,axis_name
GPT-NeoX,random_xn_tok,14336,map_at_100,2.352,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,12288,map_at_100,2.352,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,9216,map_at_100,2.2720000000000002,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,7168,map_at_100,2.3040000000000003,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,5120,map_at_100,2.2849999999999997,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,4096,map_at_100,2.238,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,2560,map_at_100,2.248,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,2048,map_at_100,2.218,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,1536,map_at_100,2.167,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,1088,map_at_100,2.031,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,1024,map_at_100,2.036,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,768,map_at_100,1.879,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,512,map_at_100,1.794,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,256,map_at_100,1.237,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,128,map_at_100,0.775,GPT-NeoX(50304 vocab size)
T5,random_xn_tok,14336,map_at_100,1.9189999999999998,T5(32128 vocab size)
T5,random_xn_tok,12288,map_at_100,1.884,T5(32128 vocab size)
T5,random_xn_tok,9216,map_at_100,1.889,T5(32128 vocab size)
T5,random_xn_tok,7168,map_at_100,1.865,T5(32128 vocab size)
T5,random_xn_tok,5120,map_at_100,1.844,T5(32128 vocab size)
T5,random_xn_tok,4096,map_at_100,1.8370000000000002,T5(32128 vocab size)
T5,random_xn_tok,2560,map_at_100,1.818,T5(32128 vocab size)
T5,random_xn_tok,2048,map_at_100,1.8610000000000002,T5(32128 vocab size)
T5,random_xn_tok,1536,map_at_100,1.8010000000000002,T5(32128 vocab size)
T5,random_xn_tok,1088,map_at_100,1.677,T5(32128 vocab size)
T5,random_xn_tok,1024,map_at_100,1.6709999999999998,T5(32128 vocab size)
T5,random_xn_tok,768,map_at_100,1.738,T5(32128 vocab size)
T5,random_xn_tok,512,map_at_100,1.551,T5(32128 vocab size)
T5,random_xn_tok,256,map_at_100,1.409,T5(32128 vocab size)
T5,random_xn_tok,128,map_at_100,0.903,T5(32128 vocab size)
OPT,random_xn_tok,14336,map_at_100,2.091,OPT(50272 vocab size)
OPT,random_xn_tok,12288,map_at_100,2.088,OPT(50272 vocab size)
OPT,random_xn_tok,9216,map_at_100,2.084,OPT(50272 vocab size)
OPT,random_xn_tok,7168,map_at_100,2.0740000000000003,OPT(50272 vocab size)
OPT,random_xn_tok,5120,map_at_100,2.0709999999999997,OPT(50272 vocab size)
OPT,random_xn_tok,4096,map_at_100,1.989,OPT(50272 vocab size)
OPT,random_xn_tok,2560,map_at_100,2.0,OPT(50272 vocab size)
OPT,random_xn_tok,2048,map_at_100,2.003,OPT(50272 vocab size)
OPT,random_xn_tok,1536,map_at_100,2.0,OPT(50272 vocab size)
OPT,random_xn_tok,1088,map_at_100,1.939,OPT(50272 vocab size)
OPT,random_xn_tok,1024,map_at_100,1.9,OPT(50272 vocab size)
OPT,random_xn_tok,768,map_at_100,1.804,OPT(50272 vocab size)
OPT,random_xn_tok,512,map_at_100,1.7469999999999999,OPT(50272 vocab size)
OPT,random_xn_tok,256,map_at_100,1.518,OPT(50272 vocab size)
OPT,random_xn_tok,128,map_at_100,0.873,OPT(50272 vocab size)
Cerebras,random_xn_tok,14336,map_at_100,2.426,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,12288,map_at_100,2.414,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,9216,map_at_100,2.383,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,7168,map_at_100,2.387,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,5120,map_at_100,2.414,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,4096,map_at_100,2.412,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,2560,map_at_100,2.319,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,2048,map_at_100,2.297,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,1536,map_at_100,2.279,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,1088,map_at_100,2.257,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,1024,map_at_100,2.205,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,768,map_at_100,2.1229999999999998,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,512,map_at_100,1.9060000000000001,Cerebras(50257 vocab size)
